@tick,heap MiB
666,740.2929077148438
667,758.7929077148438
668,775.2929077148438
669,786.7929077148438
670,809.7929077148438
671,826.2929077148438
672,842.2929077148438
673,860.7929077148438
674,886.2929077148438
675,900.2929077148438
676,916.7929077148438
677,945.7929077148438
678,952.2929077148438
679,972.2929077148438
680,631.7257080078125
681,644.2257080078125
682,664.2257080078125
683,678.7257080078125
684,692.7257080078125
685,712.2257080078125
686,760.2257080078125
687,785.2257080078125
688,796.7211303710938
689,819.7257080078125
690,832.2257080078125
691,846.7257080078125
692,874.2257080078125
693,901.7257080078125
694,918.232177734375
695,935.7412719726562
696,956.2244873046875
697,968.7257080078125
698,628.8372802734375
699,646.4622192382812
700,666.9622192382812
701,684.9622192382812
702,705.4835815429688
703,710.507080078125
704,715.4710693359375
705,730.9622192382812
706,741.9622192382812
707,750.4622192382812
708,765.4622192382812
709,773.9622192382812
710,787.7122192382812
711,809.9622192382812
712,831.9622192382812
713,864.9622192382812
714,874.9622192382812
715,887.9622192382812
716,901.4622192382812
717,916.9622192382812
718,933.9622192382812
719,954.4622192382812
720,965.4622192382812
721,629.2067260742188
722,647.2067260742188
723,664.189697265625
724,676.72216796875
